Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target
19.71428571,218.6785714,95.82142857,1.464285714,0.892857143,19.17857143,226.9285714,115.3928571,1.857142857,1.107142857,0,1
20.28571429,235.7142857,114.8571429,1.571428571,1.035714286,20.32142857,233.9642857,99.71428571,1.357142857,0.928571429,0,0
21.57142857,230.8214286,141.3571429,1.142857143,0.75,21.53571429,218.75,111.3214286,1.464285714,0.892857143,0.142857143,1
23.64285714,240.6428571,142.8571429,1.5,1.035714286,22.60714286,267.8928571,104.8928571,1.357142857,1.035714286,0,0
24.82142857,220.5714286,146.6428571,1.857142857,0.928571429,25.39285714,259.1071429,107.9642857,1.214285714,0.821428571,0,0
19.32142857,216.9642857,92.21428571,1,1.142857143,26.78571429,265.8571429,116.5357143,1.321428571,0.892857143,0.071428571,1
24.21428571,280.1785714,96.39285714,1.285714286,0.714285714,26.71428571,254.2857143,140.1785714,1.142857143,0.678571429,0.071428571,1
22.17857143,237.5,102.1785714,1.928571429,0.964285714,20.71428571,229.6071429,130.9285714,1.571428571,1.357142857,0.142857143,1
22.96428571,246.0714286,119.8928571,1.285714286,0.607142857,20.32142857,225.3928571,110.8571429,1.071428571,1.357142857,0,1
22.82142857,223.9642857,119.8214286,1.357142857,0.642857143,21.96428571,267.2857143,100.9285714,1.392857143,1.357142857,0.071428571,0
25.92857143,243.3214286,125.6071429,1.535714286,0.785714286,20.82142857,229.5,112.6071429,1.25,1.714285714,0.142857143,0
27.5,420.5,77.5,1,0.5,35,310.5,101,1,0,1,0
20,202,75.5,2.5,1.5,26,210.5,117,1.5,0.5,0,1
10.5,271.5,54.5,2.5,2,25.5,199.5,166.5,1,0,1,1
20.5,299,44,2,1,20,258.5,113.5,2.5,0.5,0,1
23,369,95.5,2,0.5,36,312,95.5,1.5,0.5,1,1
34,256.5,144.5,2.5,1,13.5,192.5,82,3,1,1,1
17,185,101.5,2.5,0,25.5,216.5,125,1,1.5,1,0
30.5,256,100.5,2.5,1,15,112,149,2,0.5,0,1
