Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target,Home Twitter Sentiment,Away Twitter Sentiment,Home Twitter Rate,Away Twitter Rate,Unnamed: 0
17.625,215.5,102.3125,1.625,0.8125,21.125,231.9375,126.9375,1.4375,0.875,0,0,0.11210179,0.093175068,0.583333333,0.765895954,
24.4375,253.875,115.8125,1,1,26.1875,265.0625,127.8125,0.875,0.9375,0.125,1,0.068740167,0.076207339,5.267857143,0.872093023,
18.6875,280.75,82.8125,2,0.75,25.375,194.1875,167.125,0.75,0.5625,0,1,0.05978382,0.115991165,5.049019608,-0.92936803,
17.375,231.9375,98.1875,1.9375,1.125,19.875,227.1875,103.1875,1.0625,1,0.125,1,0.192405247,0.152555497,5.143678161,6.078431373,
28,244.375,137.875,1.625,1,20.0625,241.9375,78.25,1.8125,1.375,0,0,0.149899612,0.023796452,-4.691907,9.292635659,
21.125,239.625,100.25,2.0625,1.125,22.1875,233.0625,109.4375,1.25,1.125,0.125,0,0.121464029,0.069315476,1.705882353,-1.806722689,
22.625,236.5,117.6875,1.4375,1,21.375,243.1875,82.6875,1.375,1,0.125,0,0.119437442,0.190274943,0.081081081,-0.70212766,
21,243.5625,99.25,1.3125,1.3125,23,275.5625,124.9375,1.75,0.8125,0,0,0.129853993,0.123576073,9.87745098,0.434782609,
17.66666667,238.9444444,93.38888889,1.666666667,1.444444444,20.38888889,222.0555556,102.6111111,1.333333333,1.111111111,0.111111111,0,0.072978554,0.137609624,-0.48951049,1.700581395,
23.83333333,241.4444444,129.7222222,1.333333333,0.722222222,20.94444444,214.2777778,113.2222222,1.666666667,1.055555556,0.111111111,0,0.056045926,0.108476415,0.952380952,-1.432160804,
21.55555556,210.4444444,118.9444444,1.611111111,0.722222222,22.05555556,243.1111111,112.7222222,2.166666667,1.111111111,0.111111111,1,0.042749123,0.157556276,-0.39893617,2.372505543,
22,269.2777778,104.2777778,1.722222222,1.277777778,25.94444444,256,101.5555556,1.611111111,0.944444444,0,1,0.169811701,0.04034963,-3.26440678,-0.34,
26.11111111,245.4444444,126.5555556,1.777777778,0.833333333,20.11111111,261.8888889,99.44444444,1.611111111,1.388888889,0.111111111,0,0.069470455,0.03490814,-4.093444909,-3.191927512,
25.83333333,268.0555556,129.5,1.166666667,0.611111111,20.38888889,244.1666667,109.9444444,1.277777778,0.666666667,0.111111111,1,0.128740257,0.051362766,-0.350877193,1.336633663,
26.27777778,246.8888889,148.8888889,1.111111111,0.777777778,20.5,229.9444444,93.55555556,2.055555556,1.111111111,0,1,0.075728682,0.204967331,-1.575342466,3.026315789,
21,235,123.7222222,1.111111111,1.166666667,23.44444444,240.6666667,115.5,1.388888889,0.888888889,0,1,0.115605442,0.107797159,-0.760869565,-2.176616915,
14.94444444,203,96.77777778,1.888888889,1.222222222,22.83333333,221.2222222,125,1.111111111,1,-0.111111111,0,0.066905099,0.091161569,0.45,0.31626506,
17.33333333,233,117.7777778,1.444444444,1.666666667,23.11111111,237.0555556,100.7777778,0.944444444,0.944444444,0.111111111,0,0.084941796,0.174765881,-0.02283105,3.636363636,
20.33333333,228.2222222,121.1666667,1.388888889,1.333333333,21.44444444,236.8333333,106.7777778,1.5,0.722222222,0,0,0.209290253,0.004115528,-2.407932011,2.5,
18.61111111,237,102,1.111111111,1.222222222,21.44444444,250.8333333,112.8888889,1.333333333,0.722222222,0,0,0.189601739,0.111472527,-3.097345133,2.272727273,
22.22222222,289.2777778,99.16666667,1.5,1.055555556,17.61111111,197.6111111,98.61111111,1.444444444,0.888888889,-0.111111111,1,0.212741218,0.114461062,3.364485981,-0.394736842,
24.61111111,233.1111111,119.9444444,1,0.777777778,25.22222222,292.8888889,101.7222222,1.166666667,0.777777778,0,1,0.116092608,0.109989474,1.20049505,0.903846154,
25,234.9444444,117.0555556,2,0.777777778,24.72222222,256.9444444,125.4444444,1.388888889,1.611111111,0.111111111,1,0.157481628,0.086437882,1.561904762,1.340206186,
27.27777778,284.2222222,125.4444444,1.444444444,0.722222222,22.22222222,257.6666667,83.11111111,1.5,0.722222222,0.111111111,1,0.15269332,0.11568,5.243243243,-1.134146341,
23.8,284.7,94.65,1.3,1.2,26.3,233.75,121.7,1.5,0.7,0.1,0,0.154717442,0.197182555,-2.575107296,-2.804391218,
19.95,240.65,94.65,1.55,1,25.3,273.3,106.4,1.4,1.1,0.1,0,0.223366004,0.16707732,-1.11328125,-2.081005587,
25,230.15,132.1,1.45,0.95,19.6,248.6,93.45,1.5,0.9,0,1,0.153274792,0.130559242,0.687331536,-0.885714286,
21.4,247.95,98,1.2,1,20.85,261.35,124.75,1.5,1.35,0,0,0.120035521,-0.010230879,-0.523917995,6.857798165,
26.15,269.25,125.25,1.6,1.25,22,213.9,112.4,1.85,1.25,0.1,1,0.096687021,0.079546154,-1.235772358,-1.256410256,
22.1,267.7,115.25,1.25,1.1,27.2,254.7,117.4,1.25,0.65,0,1,0.024390625,0.023308654,-1.2109375,9.807692308,
